02232, 3000
51005, 2000
01027,13862,13932,-0.5,13932,5.6,22.3,18.6,51.1,82.6,15.2,0.4,0.2,0.0,1.6,2.9,80.0,84.9,2.0,2.8,71.4,9.5,1148,27.3,6768,72.8,11.2,82900,5851,2.24,18332,35595,18.8,194,3137,-31.1,780,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
01029,14835,14972,-0.9,14972,6.0,23.4,16.2,50.4,94.4,4.0,0.4,0.2,0.1,1.0,2.4,92.2,86.1,1.2,1.8,70.3,8.4,1126,29.1,6745,74.9,5.3,87900,5397,2.71,17490,36077,17.1,171,1934,-14.2,952,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.10,26.7
01031,50526,49948,1.2,49948,6.7,24.1,14.7,50.7,76.9,17.5,1.5,1.3,0.5,2.3,6.4,72.0,80.9,4.6,6.3,79.3,22.1,5947,20.7,22473,69.7,13.6,116700,18928,2.51,22797,42253,17.2,1022,12607,-4.7,2603,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,216,678.97,73.6
01033,54512,54428,0.2,54428,5.6,21.9,17.6,51.9,81.2,16.3,0.5,0.5,0.0,1.4,2.2,79.3,85.0,1.6,2.6,80.1,16.4,4586,22.7,25723,73.5,12.3,94700,22165,2.41,21079,39610,15.7,1284,18700,-3.5,3846,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,127,592.62,91.8
01035,13105,13228,-0.9,13228,5.8,22.4,18.6,51.5,51.6,46.7,0.4,0.2,0.0,1.1,1.5,50.8,95.9,0.0,1.0,71.3,9.7,1185,25.2,7035,81.6,6.0,72500,4861,2.74,15755,26944,30.6,214,2627,-30.3,740,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,0,850.16,15.6
01037,10713,11537,-7.1,11539,4.9,21.0,13.9,50.1,66.9,31.1,0.6,0.2,0.1,1.1,2.2,65.6,88.6,0.6,1.4,73.1,10.6,1097,30.2,6490,83.7,1.9,73100,4561,2.43,19209,35560,16.0,94,1009,-29.4,396,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7
01039,38058,37765,0.8,37765,5.9,22.4,18.6,51.6,84.7,12.9,0.6,0.5,0.0,1.3,1.4,83.6,88.3,1.5,2.2,76.5,13.1,3764,20.8,18774,74.0,6.1,85700,14663,2.54,19822,33852,19.0,864,10480,-4.0,2317,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,17,1030.46,36.6
01041,13911,13906,0.0,13906,6.2,23.6,16.0,51.7,72.1,24.1,0.4,1.8,0.1,1.4,1.7,70.7,89.1,4.1,4.6,73.7,10.1,1256,27.4,6710,67.8,9.2,71900,5641,2.46,19793,35140,17.7,237,3101,5.4,811,1027,25.8,0.0,0.0,0.0,0.0,30.2,270809,131874,75456,5491,5640,8,608.84,22.8
01043,80536,80406,0.2,80406,6.1,22.9,16.2,50.5,96.4,1.4,0.6,0.5,0.0,1.1,4.5,92.3,85.3,2.6,4.2,76.9,13.8,6708,27.4,37121,74.7,8.5,102200,31263,2.51,20284,38567,16.7,1735,21578,-1.1,5537,7873,1.1,0.0,1.1,0.0,0.0,23.9,1393437,0,867058,10757,102291,69,734.84,109.4
01045,50044,50251,-0.4,50251,7.1,24.5,13.8,50.8,75.4,19.7,0.9,1.2,0.1,2.7,5.6,70.9,76.5,3.6,6.2,82.2,17.5,7148,20.0,22759,61.2,13.2,93900,19545,2.49,21722,43353,14.8,839,13158,29.5,2363,2951,0.0,0.0,0.0,0.0,0.0,0.0,114991,69341,332503,6889,37229,26,561.15,89.6
01047,43332,43820,-1.1,43820,7.3,26.3,14.5,53.7,29.4,69.4,0.2,0.4,0.0,0.7,0.8,29.0,85.8,0.7,1.4,76.8,14.3,3384,24.7,20098,62.6,16.0,70300,16795,2.60,16646,26029,31.8,780,11399,-24.6,2731,3148,49.1,0.0,4.4,0.0,0.0,28.8,1174763,0,437359,10223,33708,76,978.70,44.8
01049,71375,71109,0.4,71109,7.0,25.6,14.1,50.7,92.3,2.2,2.2,0.4,0.8,2.1,14.0,80.9,87.4,7.2,10.4,68.1,10.9,4514,23.1,31336,77.5,6.4,84400,25937,2.65,18152,35065,20.0,1119,17141,-18.5,4681,5908,0.0,0.8,0.6,0.0,0.0,25.8,1831626,0,635185,9303,67915,26,777.09,91.5
01051,80162,79303,1.1,79303,6.0,23.0,12.3,51.2,76.3,21.1,0.4,0.7,0.1,1.4,2.8,74.0,83.2,2.2,3.7,83.8,20.2,8363,27.5,33245,77.6,7.0,136500,27762,2.55,22640,53128,12.4,1111,13768,46.9,5072,6513,9.1,0.0,0.0,0.0,0.0,28.3,766344,104885,618313,7982,47884,142,618.49,128.2
01053,38095,38319,-0.6,38319,6.2,22.7,15.3,48.4,62.6,32.1,3.4,0.3,0.1,1.5,2.0,61.0,88.4,1.1,1.6,73.0,10.9,3146,24.6,16406,73.5,7.8,83800,13804,2.51,16259,31927,24.4,768,9371,-19.8,2104,2765,9.0,3.2,0.0,0.0,0.0,21.3,665336,93125,379587,10089,31909,11,945.08,40.5
01055,104303,104430,-0.1,104430,6.0,22.9,15.9,51.6,81.5,15.5,0.6,0.7,0.3,1.4,3.5,78.8,83.4,2.3,3.0,81.2,15.8,9837,23.6,47346,73.0,11.9,98200,41584,2.46,20439,36422,16.8,2032,29476,-14.2,6947,9147,6.1,0.0,0.0,0.0,0.6,25.7,1252962,518424,1114841,10801,137966,99,534.99,195.2
